# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=10 seed=42 integrator=whfast_jacobi
a_init,e_init,da_over_a
0.05477386935,0.7065326633,-1.7919247889800715e-12
0.05477386935,0.7113065327,-1.5441337046926894e-12
0.05477386935,0.716080402,-9.7444223943688310e-13
0.05477386935,0.7208542714,4.1863518258490949e-12
0.05477386935,0.7256281407,-2.6673012677253735e-12
0.05477386935,0.7304020101,-8.1152846929701933e-13
0.05477386935,0.7351758794,-4.4660669148606184e-12
0.05477386935,0.7399497487,1.2273006260614304e-12
0.05477386935,0.7447236181,-4.7062570456422523e-13
0.05477386935,0.7494974874,6.6178968523378530e-13
0.05477386935,0.7542713568,-1.1924629224934192e-12
0.05477386935,0.7590452261,-1.3632310112558891e-12
0.05477386935,0.7638190955,5.7057824316481038e-13
0.05477386935,0.7685929648,-7.2589105979892611e-14
0.05477386935,0.7733668342,-5.9996859672036894e-13
0.05477386935,0.7781407035,9.4606534634875750e-13
0.05477386935,0.7829145729,3.0944748547484063e-12
0.05477386935,0.7876884422,-2.4260976764763060e-12
0.05477386935,0.7924623116,3.9106905787073033e-13
0.05477386935,0.7972361809,5.5276667544967442e-12
0.05477386935,0.8020100503,3.4356309845980588e-13
0.05477386935,0.8067839196,-1.6809508677961520e-12
0.05477386935,0.8115577889,4.1507540269305084e-12
0.05477386935,0.8163316583,-1.2307210551390169e-12
0.05477386935,0.8211055276,1.6435795130595581e-12
0.05477386935,0.825879397,3.6117197408145520e-13
0.05477386935,0.8306532663,7.7022995524912228e-13
0.05477386935,0.8354271357,-1.8072533785499966e-12
0.05477386935,0.840201005,-4.6454494175962693e-13
0.05477386935,0.8449748744,-2.1993358968881601e-12
0.05477386935,0.8497487437,6.6609689222037582e-13
0.05477386935,0.8545226131,-3.9841664625962000e-13
0.05477386935,0.8592964824,-5.5486960591959798e-12
0.05477386935,0.8640703518,1.0683520200003986e-11
0.05477386935,0.8688442211,-7.9117058215745789e-12
0.05477386935,0.8736180905,-9.1720705953860129e-12
0.05477386935,0.8783919598,3.9362804555099879e-12
0.05477386935,0.8831658291,-6.9185145634901840e-12
