# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=100 seed=42 integrator=whfast
a_init,e_init,da_over_a
0.05,0.4964824121,2.0314305793078802e-12
0.05,0.5012562814,8.9428464633556359e-13
0.05,0.5060301508,-4.4311776470351560e-13
0.05,0.5108040201,-4.0370484732932255e-13
0.05,0.5155778894,1.3326839631844223e-12
0.05,0.5203517588,1.0601242106389464e-12
0.05,0.5251256281,1.7680301667155618e-13
0.05,0.5298994975,-1.3572476476042539e-13
0.05,0.5346733668,-8.4168783054394680e-13
0.05,0.5394472362,9.2648111404969313e-13
0.05,0.5442211055,9.6311847386232330e-13
0.05,0.5489949749,-4.9210635566510064e-13
0.05,0.5537688442,-9.4327323729714863e-13
0.05,0.5585427136,3.2432390106862385e-13
0.05,0.5633165829,8.7624352218540480e-13
0.05,0.5680904523,-9.7824526257284106e-13
0.05,0.5728643216,-3.2404634531246757e-13
0.05,0.577638191,1.1819711875915573e-12
0.05,0.5824120603,3.0253577421035516e-14
0.05,0.5871859296,8.8276608245507759e-13
0.05,0.591959799,2.7852720130283615e-13
0.05,0.5967336683,1.0899614544257474e-12
0.05,0.6015075377,2.1781187964364790e-12
0.05,0.606281407,1.8721135752741702e-12
0.05,0.6110552764,-1.3287981825982342e-12
0.05,0.6158291457,-1.8832158055204218e-12
0.05,0.6206030151,2.1614654510671016e-12
0.05,0.6253768844,-4.4395043197198447e-13
0.05,0.6301507538,3.8358205500799158e-13
0.05,0.6349246231,-2.7232383015274308e-12
0.05,0.6396984925,2.2162827129079687e-13
0.05,0.6444723618,3.1558089474970075e-13
0.05,0.6492462312,-2.4630297801309098e-12
0.05,0.6540201005,2.3483992528383624e-12
0.05,0.6587939698,2.1134483052520636e-12
0.05,0.6635678392,-7.0707328880814657e-13
0.05,0.6683417085,5.7301385858465892e-13
0.05,0.6731155779,-1.2043144259621386e-12
0.05,0.6778894472,2.0067281170099704e-13
0.05,0.6826633166,1.0408340855860843e-13
0.05,0.6874371859,2.3592239273284576e-14
0.05,0.6922110553,-2.8699265186560297e-13
0.05,0.6969849246,-1.0245970738509413e-12
0.05,0.701758794,-2.8374524951857438e-12
0.05,0.7065326633,1.8686441283222166e-12
0.05,0.7113065327,-2.7690350012932186e-12
0.05,0.716080402,2.3217539002473586e-12
0.05,0.7208542714,2.8511915051154801e-12
0.05,0.7256281407,-1.3300471835009375e-12
0.05,0.7304020101,-2.8171909249863347e-13
0.05,0.7351758794,2.3639423751831146e-12
0.05,0.7399497487,2.8863023082692507e-12
0.05,0.7447236181,-2.2083723738575145e-12
0.05,0.7494974874,-1.1227130336521896e-13
0.05,0.7542713568,5.0259796324780837e-12
0.05,0.7590452261,1.7474910407599964e-12
0.05,0.7638190955,-3.9623859748871837e-12
0.05,0.7685929648,-3.2467084576381922e-12
0.05,0.7733668342,-1.3987422331496191e-12
0.05,0.7781407035,-3.7650438322600621e-13
0.05,0.7829145729,-1.0268175199001917e-12
0.05,0.7876884422,6.7543193260632961e-13
0.05,0.7924623116,-2.1530000005043348e-12
0.05,0.7972361809,2.0793089472448401e-12
0.05,0.8020100503,2.7629287746577802e-12
0.05,0.8067839196,3.0467295353275858e-12
0.05,0.8115577889,3.6855241081212853e-12
0.05,0.8163316583,3.8344327712991344e-12
0.05,0.8211055276,3.3954783429379631e-12
0.05,0.825879397,-4.2382763965065351e-12
0.05,0.8306532663,2.2008783684412947e-12
0.05,0.8354271357,-2.9877489371443744e-12
0.05,0.840201005,6.1807503559663246e-12
0.05,0.8449748744,-2.2555568524040837e-12
0.05,0.8497487437,6.3588023735405841e-13
0.05,0.8545226131,8.5667584137638642e-13
0.05,0.8592964824,3.5997593794689919e-12
0.05,0.8640703518,-1.3113121699603880e-12
0.05,0.8688442211,4.3268166827203913e-12
0.05,0.8736180905,-2.1288526497187377e-13
0.05,0.8783919598,-3.4916514124461173e-13
0.05,0.8831658291,8.3905105086046206e-13
0.05,0.8879396985,1.6370238498097933e-12
0.05,0.8927135678,5.8296423244286188e-12
0.05,0.8974874372,-2.0208834605739412e-12
0.05,0.9022613065,-1.5373813333496855e-12
0.05,0.9070351759,5.3367033014950493e-12
0.05,0.9118090452,-8.0740969465864509e-13
0.05,0.9165829146,1.1630141294460827e-11
0.05,0.9213567839,1.1657341758564144e-12
0.05,0.9261306533,1.2819745265346683e-11
0.05,0.9309045226,7.3943628997596988e-12
0.05,0.935678392,-4.2402192867996291e-12
0.05,0.9404522613,2.1507795544550845e-12
0.05,0.9452261307,7.0340955282688356e-12
0.05,0.95,1.5443618606170162e-11
0.05477386935,0,4.2147287189372204e-13
0.05477386935,0.004773869347,5.8400659435829835e-13
0.05477386935,0.009547738693,-1.2693592354599022e-13
0.05477386935,0.01432160804,2.9136988438700351e-14
0.05477386935,0.01909547739,9.6316749173669024e-13
0.05477386935,0.02386934673,-4.8266054761499272e-13
0.05477386935,0.02864321608,1.2708794261610518e-12
0.05477386935,0.03341708543,-5.7450540247611348e-13
0.05477386935,0.03819095477,-3.1531288793010943e-13
0.05477386935,0.04296482412,5.4498836636212571e-13
0.05477386935,0.04773869347,7.2576437724049697e-13
0.05477386935,0.05251256281,-9.0020626019741172e-13
0.05477386935,0.05728643216,5.6272392454220419e-13
0.05477386935,0.06206030151,1.1120194978909203e-12
0.05477386935,0.06683417085,-6.4278730146941556e-13
0.05477386935,0.0716080402,-6.3366615726251801e-13
0.05477386935,0.07638190955,5.5664316173760579e-13
0.05477386935,0.08115577889,2.8034850180366905e-13
0.05477386935,0.08592964824,3.9220920089659254e-13
0.05477386935,0.09070351759,9.1452138929990363e-13
0.05477386935,0.09547738693,-1.4885200615423006e-12
0.05477386935,0.1002512563,7.0460838998283193e-13
0.05477386935,0.1050251256,1.2223600062826943e-12
0.05477386935,0.109798995,2.3930335287263026e-13
0.05477386935,0.1145728643,-9.4479852076446623e-13
0.05477386935,0.1193467337,-7.9810011810353128e-15
0.05477386935,0.124120603,3.8853540670214771e-13
0.05477386935,0.1288944724,3.2684100074716045e-14
0.05477386935,0.1336683417,-8.4813972868303844e-13
0.05477386935,0.1384422111,-1.7190823178833206e-12
0.05477386935,0.1432160804,-8.3509142516483789e-13
0.05477386935,0.1479899497,1.1947432085451435e-12
0.05477386935,0.1527638191,2.7705475528451158e-13
0.05477386935,0.1575376884,-4.9406197787361459e-13
0.05477386935,0.1623115578,-2.0801276094063469e-13
0.05477386935,0.1670854271,-1.4692643126610724e-12
0.05477386935,0.1718592965,1.8622336089082398e-14
0.05477386935,0.1766331658,-4.2489330097130861e-13
0.05477386935,0.1814070352,-5.1686483839085842e-13
0.05477386935,0.1861809045,-6.3695990378167547e-13
0.05477386935,0.1909547739,-1.3738723461639360e-12
0.05477386935,0.1957286432,-2.1063508990011769e-12
0.05477386935,0.2005025126,-1.3143315437022440e-12
0.05477386935,0.2052763819,-7.0422834230754451e-13
0.05477386935,0.2100502513,-1.8860499298929167e-12
0.05477386935,0.2148241206,-1.2750599505892131e-12
0.05477386935,0.2195979899,-8.5472722172135337e-13
0.05477386935,0.2243718593,-5.4701528729699181e-13
0.05477386935,0.2291457286,-1.0566592198573897e-12
0.05477386935,0.233919598,-5.0951725000196876e-13
0.05477386935,0.2386934673,-3.2038019026727473e-13
0.05477386935,0.2434673367,-2.3898664647655744e-12
0.05477386935,0.248241206,-5.7349194200868033e-13
0.05477386935,0.2530150754,7.1626318535831210e-13
0.05477386935,0.2577889447,-1.1530646468219592e-12
0.05477386935,0.2625628141,9.6912157198285954e-14
0.05477386935,0.2673366834,-1.0648935861552832e-12
0.05477386935,0.2721105528,2.6425981688316925e-13
0.05477386935,0.2768844221,-1.6296444316323536e-12
0.05477386935,0.2816582915,-1.4177045113804158e-12
0.05477386935,0.2864321608,3.7396691248279754e-13
0.05477386935,0.2912060302,-8.8601781365334892e-13
0.05477386935,0.2959798995,-6.0984983627784123e-13
0.05477386935,0.3007537688,-3.1417274490424727e-13
0.05477386935,0.3055276382,-1.8414576693258621e-12
0.05477386935,0.3103015075,1.0564058547405315e-12
0.05477386935,0.3150753769,-1.6340783211773731e-12
0.05477386935,0.3198492462,3.6712605432762440e-13
0.05477386935,0.3246231156,1.2069047341543401e-12
0.05477386935,0.3293969849,1.8204283646266262e-13
0.05477386935,0.3341708543,-1.4980212534244854e-12
0.05477386935,0.3389447236,-9.3757761493400557e-13
0.05477386935,0.343718593,8.5118011008533759e-13
0.05477386935,0.3484924623,-7.5059415869260681e-13
0.05477386935,0.3532663317,1.6867782654838921e-12
0.05477386935,0.358040201,4.6213797314947341e-13
0.05477386935,0.3628140704,-1.6562477689024713e-12
0.05477386935,0.3675879397,1.0219481988478076e-12
0.05477386935,0.372361809,-5.3650063494737389e-13
0.05477386935,0.3771356784,-2.2147911690165139e-12
0.05477386935,0.3819095477,-1.3715920601122117e-12
0.05477386935,0.3866834171,2.6246092455347559e-12
0.05477386935,0.3914572864,-7.6009535057479178e-13
0.05477386935,0.3962311558,-1.4668573440509190e-12
0.05477386935,0.4010050251,-3.8422819971555725e-13
0.05477386935,0.4057788945,-2.3015687215404693e-12
0.05477386935,0.4105527638,2.1380215386084599e-12
0.05477386935,0.4153266332,1.3125579878842362e-12
0.05477386935,0.4201005025,1.3228192751169960e-12
0.05477386935,0.4248743719,1.1629458863794314e-13
0.05477386935,0.4296482412,-3.5027727405654986e-13
0.05477386935,0.4344221106,-6.6254978058436009e-14
0.05477386935,0.4391959799,-5.8717365831902661e-13
0.05477386935,0.4439698492,2.5755830954226818e-12
0.05477386935,0.4487437186,4.7388144631585390e-12
0.05477386935,0.4535175879,4.8176110145014591e-12
0.05477386935,0.4582914573,5.7891395550944724e-12
0.05477386935,0.4630653266,-6.7914519573857646e-13
0.05477386935,0.467839196,-1.1197471339550974e-12
0.05477386935,0.4726130653,2.3228513913565635e-12
0.05477386935,0.4773869347,5.0711028139181524e-13
0.05477386935,0.482160804,-6.1187675721270733e-13
0.05477386935,0.4869346734,-2.7901833494016314e-12
0.05477386935,0.4917085427,3.8815535902686034e-13
0.05477386935,0.4964824121,2.2258125515998485e-12
0.05477386935,0.5012562814,-3.5876500547130170e-12
0.05477386935,0.5060301508,-3.0745856930750324e-13
0.05477386935,0.5108040201,4.2067477177561846e-12
0.05477386935,0.5155778894,-1.1985436852980175e-12
0.05477386935,0.5203517588,4.2966923342408685e-12
0.05477386935,0.5251256281,-4.2521000736738143e-12
0.05477386935,0.5298994975,-9.9637099030096576e-12
0.05477386935,0.5346733668,-3.7121790096488537e-12
0.05477386935,0.5394472362,-4.0538418697322228e-14
0.05477386935,0.5442211055,-8.0798135766100365e-13
0.05477386935,0.5489949749,1.6722097712645420e-14
0.05477386935,0.5537688442,-3.8036438168346868e-12
0.05477386935,0.5585427136,-8.9475891018495905e-13
0.05477386935,0.5633165829,-5.4999232742007639e-12
0.05477386935,0.5680904523,9.6519441267155634e-13
0.05477386935,0.5728643216,-2.4585284114341640e-12
0.05477386935,0.577638191,7.3475883888896533e-15
0.05477386935,0.5824120603,2.1249732350902595e-12
0.05477386935,0.5871859296,-4.4015854926201901e-12
0.05477386935,0.591959799,2.7145538620194398e-12
0.05477386935,0.5967336683,2.6219489118077443e-12
0.05477386935,0.6015075377,9.5943035626303085e-12
0.05477386935,0.606281407,1.1643013897546231e-11
0.05477386935,0.6110552764,-2.0547910977205204e-13
0.05477386935,0.6158291457,2.1871743712789631e-12
0.05477386935,0.6206030151,2.7340629760175261e-12
0.05477386935,0.6253768844,5.2202081851892405e-12
0.05477386935,0.6301507538,9.0809858358754658e-12
0.05477386935,0.6349246231,1.4744582975566668e-12
